pattern,step,layer,note,octave,channel,sustain,arm,lastPlayedNote,lastPlayedChannel,selectedLayer0,selectedLayer1,selectedLayer2,selectedLayer3,enabled
1,0,0,0,3,0,False,True,0,0,0,1,2,3,True
1,0,1,0,3,0,False,True,0,0,0,1,2,3,True
1,0,2,0,3,0,False,True,0,0,0,1,2,3,True
1,0,3,0,3,0,False,True,0,0,0,1,2,3,True
1,0,4,0,3,0,False,True,0,0,0,1,2,3,True
1,0,5,0,3,0,False,True,0,0,0,1,2,3,True
1,0,6,0,3,0,False,True,0,0,0,1,2,3,True
1,0,7,0,3,0,False,True,0,0,0,1,2,3,True
1,0,8,0,3,0,False,True,0,0,0,1,2,3,True
1,0,9,0,3,0,False,True,0,0,0,1,2,3,True
1,1,0,0,3,0,False,True,0,0,0,1,2,3,True
1,1,1,0,3,0,False,True,0,0,0,1,2,3,True
1,1,2,0,3,0,False,True,0,0,0,1,2,3,True
1,1,3,0,3,0,False,True,0,0,0,1,2,3,True
1,1,4,0,3,0,False,True,0,0,0,1,2,3,True
1,1,5,0,3,0,False,True,0,0,0,1,2,3,True
1,1,6,0,3,0,False,True,0,0,0,1,2,3,True
1,1,7,0,3,0,False,True,0,0,0,1,2,3,True
1,1,8,0,3,0,False,True,0,0,0,1,2,3,True
1,1,9,0,3,0,False,True,0,0,0,1,2,3,True
1,2,0,0,3,0,False,True,0,0,0,1,2,3,True
1,2,1,0,3,0,False,True,0,0,0,1,2,3,True
1,2,2,0,3,0,False,True,0,0,0,1,2,3,True
1,2,3,0,3,0,False,True,0,0,0,1,2,3,True
1,2,4,0,3,0,False,True,0,0,0,1,2,3,True
1,2,5,0,3,0,False,True,0,0,0,1,2,3,True
1,2,6,0,3,0,False,True,0,0,0,1,2,3,True
1,2,7,0,3,0,False,True,0,0,0,1,2,3,True
1,2,8,0,3,0,False,True,0,0,0,1,2,3,True
1,2,9,0,3,0,False,True,0,0,0,1,2,3,True
1,3,0,0,3,0,False,True,0,0,0,1,2,3,True
1,3,1,0,3,0,False,True,0,0,0,1,2,3,True
1,3,2,0,3,0,False,True,0,0,0,1,2,3,True
1,3,3,0,3,0,False,True,0,0,0,1,2,3,True
1,3,4,0,3,0,False,True,0,0,0,1,2,3,True
1,3,5,0,3,0,False,True,0,0,0,1,2,3,True
1,3,6,0,3,0,False,True,0,0,0,1,2,3,True
1,3,7,0,3,0,False,True,0,0,0,1,2,3,True
